genome,taxon_group,tool,entity_type,class_norm,comparison_applicability,shared_count,unshared_count,not_applicable_count,total
Neurospora_crassa_OR74A,fungi,antismash,BGC,PKS,applicable,7,0,0,7
Neurospora_crassa_OR74A,fungi,antismash,BGC,RiPP,applicable,1,0,0,1
Neurospora_crassa_OR74A,fungi,antismash,BGC,other,applicable,1,0,0,1
Neurospora_crassa_OR74A,fungi,antismash,BGC,terpene,applicable,5,4,0,9
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,Hybrid,applicable,0,0,0,0
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,NRPS,applicable,3,3,0,6
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,PKS,applicable,7,1,0,8
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,RiPP,applicable,1,1,0,2
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,other,applicable,1,2,0,3
Neurospora_crassa_OR74A,fungi,funbgcex,BGC,terpene,applicable,5,2,0,7
Neurospora_crassa_OR74A,fungi,antismash,GCF,NRPS,applicable,0,3,0,3
Neurospora_crassa_OR74A,fungi,antismash,GCF,NRPS;PKS,applicable,0,1,0,1
Neurospora_crassa_OR74A,fungi,antismash,GCF,NRPS;terpene,applicable,0,1,0,1
Neurospora_crassa_OR74A,fungi,antismash,GCF,PKS,applicable,1,6,0,7
Neurospora_crassa_OR74A,fungi,antismash,GCF,RiPP,applicable,0,1,0,1
Neurospora_crassa_OR74A,fungi,antismash,GCF,other,applicable,0,1,0,1
Neurospora_crassa_OR74A,fungi,antismash,GCF,terpene,applicable,0,9,0,9
Orbilia_oligospora_ATCC_24927,fungi,antismash,BGC,NRPS,applicable,4,0,0,4
Orbilia_oligospora_ATCC_24927,fungi,antismash,BGC,PKS,applicable,5,0,0,5
Orbilia_oligospora_ATCC_24927,fungi,antismash,BGC,other,applicable,1,2,0,3
Orbilia_oligospora_ATCC_24927,fungi,antismash,BGC,terpene,applicable,7,8,0,15
Orbilia_oligospora_ATCC_24927,fungi,funbgcex,BGC,NRPS,applicable,4,1,0,5
Orbilia_oligospora_ATCC_24927,fungi,funbgcex,BGC,PKS,applicable,5,0,0,5
