genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Batrachochytrium_dendrobatidis_JEL423,antismash,BGC,NRPS,2,0,2
Batrachochytrium_dendrobatidis_JEL423,antismash,BGC,other,0,0,0
Batrachochytrium_dendrobatidis_JEL423,antismash,BGC,terpene,1,4,5
Batrachochytrium_dendrobatidis_JEL423,funbgcex,BGC,NRPS,2,1,3
Batrachochytrium_dendrobatidis_JEL423,funbgcex,BGC,other,0,3,3
Batrachochytrium_dendrobatidis_JEL423,funbgcex,BGC,terpene,1,0,1
Batrachochytrium_dendrobatidis_JEL423,antismash,GCF,NRPS,0,2,2
Batrachochytrium_dendrobatidis_JEL423,antismash,GCF,terpene,0,5,5
Beauveria_bassiana_ARSEF_2860,antismash,BGC,Hybrid,7,0,7
Beauveria_bassiana_ARSEF_2860,antismash,BGC,NRPS,18,3,21
Beauveria_bassiana_ARSEF_2860,antismash,BGC,PKS,9,0,9
Beauveria_bassiana_ARSEF_2860,antismash,BGC,RiPP,0,0,0
Beauveria_bassiana_ARSEF_2860,antismash,BGC,other,1,0,1
Beauveria_bassiana_ARSEF_2860,antismash,BGC,terpene,7,6,13
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,Hybrid,7,1,8
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,NRPS,18,2,20
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,PKS,9,0,9
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,RiPP,0,5,5
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,other,1,6,7
Beauveria_bassiana_ARSEF_2860,funbgcex,BGC,terpene,7,1,8
Beauveria_bassiana_ARSEF_2860,antismash,GCF,NRPS,3,18,21
Beauveria_bassiana_ARSEF_2860,antismash,GCF,NRPS;PKS,2,3,5
Beauveria_bassiana_ARSEF_2860,antismash,GCF,NRPS;terpene,0,1,1
Beauveria_bassiana_ARSEF_2860,antismash,GCF,PKS,1,8,9
Beauveria_bassiana_ARSEF_2860,antismash,GCF,PKS;terpene,0,1,1
Beauveria_bassiana_ARSEF_2860,antismash,GCF,other,0,1,1
